"","Team","AST","BLK","DREB","FTA","FTM","FTp","GP","L","MIN","OREB","P2A","P2M","P3A","P3M","PF","PM","PTS","STL","TOV","W","P2p","P3p"
"1","Atlanta Hawks",1737,342,2525,1745,1417,58.568,72,31,17405,760,3879,2042,2402,895,1392,167,8186,503,914,41,0.526424336169116,0.372606161532057
"2","Boston Celtics",1689,383,2421,1496,1160,56.037,72,36,17380,765,3783,2006,2618,979,1471,105,8109,556,964,36,0.530266983875231,0.373949579831933
"3","Brooklyn Nets",1929,379,2559,1623,1305,57.858,72,24,17405,640,3689,2086,2600,1020,1371,324,8537,484,944,48,0.565464895635674,0.392307692307692
"4","Charlotte Hornets",1933,344,2389,1505,1146,54.344,72,39,17355,762,3658,1890,2666,985,1298,-139,7881,565,1021,33,0.51667577911427,0.36946736684171
"5","Chicago Bulls",1927,304,2544,1258,995,57.02,72,41,17380,693,3934,2131,2446,904,1362,-64,7969,482,1045,31,0.541687849517031,0.369582992641047
"6","Cleveland Cavaliers",1716,325,2327,1614,1200,53.477,72,50,17430,751,4034,2058,2141,720,1308,-608,7476,559,1039,22,0.510163609320773,0.336291452592247
"7","Dallas Mavericks",1647,311,2463,1524,1186,55.849,72,30,17305,657,3543,1964,2744,994,1396,163,8096,450,823,42,0.554332486593282,0.362244897959184
"8","Denver Nuggets",1933,323,2442,1406,1129,58.156,72,25,17480,758,3960,2187,2462,927,1374,355,8284,582,923,47,0.552272727272727,0.376523151909017
"9","Detroit Pistons",1743,371,2381,1683,1278,54.548,72,52,17430,694,3792,1951,2370,832,1477,-322,7676,531,1020,20,0.514504219409283,0.351054852320675
"10","Golden State Warriors",1991,342,2524,1520,1193,56.367,72,33,17305,574,3558,1925,2789,1048,1526,76,8187,587,1054,39,0.541034288926363,0.375761921835783
"11","Houston Rockets",1699,361,2396,1606,1189,53.359,72,55,17305,671,3449,1834,2923,992,1407,-569,7833,546,1025,17,0.531748332850101,0.33937735203558
"12","Indiana Pacers",1973,460,2424,1493,1183,56.927,72,38,17455,648,4122,2226,2445,889,1453,-3,8302,611,937,34,0.540029112081514,0.36359918200409
"13","LA Clippers",1756,295,2501,1387,1164,60.395,72,25,17280,678,3744,1982,2498,1027,1383,445,8209,509,894,47,0.529380341880342,0.411128903122498
"14","Los Angeles Lakers",1775,386,2490,1679,1241,53.172,72,30,17455,695,3949,2129,2248,796,1377,201,7887,562,1060,42,0.539123828817422,0.354092526690391
"15","Memphis Grizzlies",1938,364,2543,1536,1184,55.945,72,34,17405,803,4350,2282,2258,803,1349,74,8157,655,916,38,0.524597701149425,0.355624446412755
"16","Miami Heat",1895,286,2409,1520,1201,56.847,72,32,17380,579,3423,1892,2606,932,1363,2,7781,569,956,40,0.552731522056675,0.357636224098235
"17","Milwaukee Bucks",1834,334,2724,1539,1169,54.777,72,26,17330,741,3941,2183,2669,1038,1244,424,8649,585,964,46,0.553920324790662,0.388909704008992
"18","Minnesota Timberwolves",1846,398,2376,1662,1265,54.839,72,49,17405,757,3840,1988,2706,944,1507,-400,8073,632,983,23,0.517708333333333,0.348854397634885
"19","New Orleans Pelicans",1872,315,2568,1878,1369,52.354,72,41,17430,845,4222,2298,2190,762,1295,-21,8251,545,1003,31,0.544291804831833,0.347945205479452
"20","New York Knicks",1541,365,2554,1506,1181,56.586,72,31,17430,696,4062,1992,2163,847,1473,166,7706,507,876,41,0.4903988183161,0.391585760517799
"21","Oklahoma City Thunder",1588,316,2568,1536,1113,52.14,72,50,17355,715,3809,1938,2529,857,1305,-766,7560,504,1108,22,0.508794959306905,0.338869118228549
"22","Orlando Magic",1571,318,2525,1543,1196,55.86,72,51,17330,747,4135,1970,2288,784,1237,-670,7488,496,882,21,0.476420798065296,0.342657342657343
"23","Philadelphia 76ers",1706,447,2522,1836,1409,55.257,72,23,17430,722,4088,2170,2169,811,1456,402,8182,655,989,49,0.530821917808219,0.373905025357308
"24","Phoenix Suns",1939,312,2462,1347,1124,60.28,72,21,17480,630,3867,2178,2490,940,1374,419,8300,517,864,51,0.56322730799069,0.377510040160643
"25","Portland Trail Blazers",1531,363,2441,1558,1282,59.097,72,30,17305,766,3619,1841,2939,1132,1362,129,8360,496,775,42,0.508704061895551,0.385165022116366
"26","Sacramento Kings",1836,358,2307,1585,1181,53.367,72,41,17305,674,3982,2193,2400,874,1400,-265,8189,543,924,31,0.550728277247614,0.364166666666667
"27","San Antonio Spurs",1759,366,2489,1584,1254,57.103,72,39,17480,669,4472,2298,2046,716,1293,-125,7998,505,791,33,0.51386404293381,0.349951124144673
"28","Toronto Raptors",1735,388,2314,1536,1252,58.541,72,45,17305,680,3552,1818,2831,1041,1526,-34,8011,618,898,27,0.511824324324324,0.367714588484634
"29","Utah Jazz",1703,371,2709,1546,1235,57.117,72,20,17355,765,3246,1766,3098,1205,1335,666,8382,474,973,52,0.544054220579174,0.38896061975468
"30","Washington Wizards",1835,297,2557,1884,1449,55.493,72,38,17405,697,4459,2375,2088,733,1555,-132,8398,528,1003,34,0.532630634671451,0.351053639846743
