"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description","periodTime","totalTime","playlength","ShotType","oppTeam","xx","yy"
"1492",22000004,"2020-21 Regular Season","2020-12-23","Dwight Powell","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dorian Finney-Smith","Deandre Ayton","Jae Crowder","Devin Booker","Mikal Bridges","Chris Paul",1,0,1,"0:11:49","0:00:11","0:00:00",4,"PHX","free throw","","","","","","",1,"",2,"Devin Booker",1,"","","made","","free throw 1/2",NA,NA,NA,NA,NA,"Booker Free Throw 1 of 2 (1 PTS)",11,11,0,"FT","DAL",NA,NA
"1493",22000004,"2020-21 Regular Season","2020-12-23","Dwight Powell","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dorian Finney-Smith","Deandre Ayton","Jae Crowder","Devin Booker","Mikal Bridges","Chris Paul",1,0,2,"0:11:49","0:00:11","0:00:00",5,"PHX","free throw","","","","","","",2,"",2,"Devin Booker",1,"","","made","","free throw 2/2",NA,NA,NA,NA,NA,"Booker Free Throw 2 of 2 (2 PTS)",11,11,0,"FT","DAL",NA,NA
"1513",22000004,"2020-21 Regular Season","2020-12-23","Dwight Powell","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dorian Finney-Smith","Deandre Ayton","Jae Crowder","Devin Booker","Mikal Bridges","Chris Paul",1,0,7,"0:10:01","0:01:59","0:00:04",25,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",2,"","","made","","layup",1,4,-9,25.4,89.9,"Booker 1' Running Layup (4 PTS)",119,119,4,"2P","DAL",0.4,-42.65
"1527",22000004,"2020-21 Regular Season","2020-12-23","Dwight Powell","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dorian Finney-Smith","Deandre Ayton","Jae Crowder","Devin Booker","Mikal Bridges","Chris Paul",1,5,12,"0:08:46","0:03:14","0:00:03",39,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",3,"","","made","","3pt running pull-up jump shot",27,-142,228,10.8,66.2,"Booker 27' 3PT Running Pull-Up Jump Shot (7 PTS)",194,194,3,"3P","DAL",-14.2,-18.95
"1555",22000004,"2020-21 Regular Season","2020-12-23","Dwight Powell","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Maxi Kleber","Damian Jones","Jae Crowder","Devin Booker","Mikal Bridges","Cameron Payne",1,9,12,"0:05:42","0:06:18","0:00:19",67,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",0,"","","missed","","jump bank shot",5,49,20,29.9,87,"MISS Booker 5' Jump Bank Shot",378,378,19,"2P","DAL",4.9,-39.75
"1585",22000004,"2020-21 Regular Season","2020-12-23","Trey Burke","Josh Richardson","Luka Doncic","James Johnson","Maxi Kleber","Deandre Ayton","Cameron Johnson","Devin Booker","Mikal Bridges","Cameron Payne",1,13,19,"0:03:06","0:08:54","0:00:13",97,"PHX","shot","Deandre Ayton","","","","","",NA,"",NA,"Devin Booker",2,"","","made","","jump shot",10,74,68,32.4,82.2,"Booker 10' Pullup Jump Shot (9 PTS) (Ayton 1 AST)",534,534,13,"2P","DAL",7.4,-34.95
"1588",22000004,"2020-21 Regular Season","2020-12-23","Trey Burke","Josh Richardson","Luka Doncic","James Johnson","Maxi Kleber","Deandre Ayton","Cameron Johnson","Devin Booker","Mikal Bridges","Cameron Payne",1,13,21,"0:02:38","0:09:22","0:00:07",100,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",2,"","","made","","driving floating jump shot",11,0,110,25,78,"Booker 11' Driving Floating Jump Shot (11 PTS)",562,562,7,"2P","DAL",0,-30.75
"1702",22000004,"2020-21 Regular Season","2020-12-23","Luka Doncic","Dwight Powell","Dorian Finney-Smith","Tim Hardaway Jr.","Josh Richardson","Mikal Bridges","Jalen Smith","Chris Paul","Cameron Johnson","Devin Booker",2,35,39,"0:04:11","0:07:49","0:00:13",214,"PHX","shot","Chris Paul","","","","","",NA,"",NA,"Devin Booker",2,"","","made","","driving layup",1,11,-3,26.1,89.3,"Booker 1' Driving Layup (13 PTS) (Paul 1 AST)",469,1189,13,"2P","DAL",1.1,-42.05
"1748",22000004,"2020-21 Regular Season","2020-12-23","Dorian Finney-Smith","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dwight Powell","Chris Paul","Deandre Ayton","Devin Booker","Jae Crowder","Mikal Bridges",3,48,55,"0:10:12","0:01:48","0:00:16",260,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",0,"","","missed","","3pt pullup jump shot",26,6,260,25.6,63,"MISS Booker 26' 3PT Pullup Jump Shot",108,1548,16,"3P","DAL",0.6,-15.75
"1758",22000004,"2020-21 Regular Season","2020-12-23","Dorian Finney-Smith","Josh Richardson","Luka Doncic","Tim Hardaway Jr.","Dwight Powell","Chris Paul","Deandre Ayton","Devin Booker","Jae Crowder","Mikal Bridges",3,53,60,"0:08:59","0:03:01","0:00:08",270,"PHX","shot","","","","","","",NA,"",NA,"Devin Booker",3,"","","made","","3pt pullup jump shot",25,-15,251,23.5,63.9,"Booker 25' 3PT Pullup Jump Shot (16 PTS)",181,1621,8,"3P","DAL",-1.5,-16.65
