"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description","periodTime","totalTime","playlength","ShotType","oppTeam","xx","yy"
"84157",22000190,"2020-21 Regular Season","2021-01-16","Nikola Vucevic","Cole Anthony","James Ennis III","Aaron Gordon","Dwayne Bacon","DeAndre Jordan","Jeff Green","Joe Harris","James Harden","Kevin Durant",1,7,5,"0:08:56","0:03:04","0:00:06",31,"BKN","shot","","","","","","",NA,"",NA,"James Harden",0,"","","missed","","3pt step back jump shot",25,-144,204,10.6,68.6,"MISS Harden 25' 3PT Step Back Jump Shot",184,184,6,"3P","ORL",-14.4,-21.35
"84234",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Reggie Perry","Bruce Brown","Landry Shamet","Timothe Luwawu-Cabarrot","James Harden",1,24,27,"0:01:04","0:10:56","0:00:12",108,"BKN","shot","","","","","","",NA,"",NA,"James Harden",0,"","","missed","","3pt step back jump shot",25,94,234,34.4,65.6,"MISS Harden 25' 3PT Step Back Jump Shot",656,656,12,"3P","ORL",9.4,-18.35
"84244",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Reggie Perry","Bruce Brown","Landry Shamet","Timothe Luwawu-Cabarrot","James Harden",1,26,28,"0:00:06","0:11:54","0:00:00",118,"BKN","free throw","","","","","","",1,"",2,"James Harden",1,"","","made","","free throw 1/2",NA,NA,NA,NA,NA,"Harden Free Throw 1 of 2 (1 PTS)",714,714,0,"FT","ORL",NA,NA
"84245",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Reggie Perry","Bruce Brown","Landry Shamet","Timothe Luwawu-Cabarrot","James Harden",1,26,29,"0:00:06","0:11:54","0:00:00",119,"BKN","free throw","","","","","","",2,"",2,"James Harden",1,"","","made","","free throw 2/2",NA,NA,NA,NA,NA,"Harden Free Throw 2 of 2 (2 PTS)",714,714,0,"FT","ORL",NA,NA
"84260",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Timothe Luwawu-Cabarrot","Landry Shamet","James Harden","Reggie Perry","Bruce Brown",2,33,31,"0:10:06","0:01:54","0:00:15",134,"BKN","shot","","","","","","",NA,"",NA,"James Harden",2,"","","made","","driving layup",1,-6,0,24.4,89,"Harden 1' Driving Layup (4 PTS)",114,834,15,"2P","ORL",-0.6,-41.75
"84262",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Timothe Luwawu-Cabarrot","Landry Shamet","James Harden","Reggie Perry","Bruce Brown",2,35,31,"0:09:20","0:02:40","0:00:28",136,"BKN","shot","","","","","","",NA,"",NA,"James Harden",0,"","","missed","","3pt jump shot",28,38,282,28.8,60.8,"MISS Harden 28' 3PT Jump Shot",160,880,28,"3P","ORL",3.8,-13.55
"84265",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Timothe Luwawu-Cabarrot","Landry Shamet","James Harden","Reggie Perry","Bruce Brown",2,35,33,"0:09:06","0:02:54","0:00:05",139,"BKN","shot","","","","","","",NA,"",NA,"James Harden",2,"","","made","","layup",0,2,5,25.2,88.5,"Harden 1' Running Layup (6 PTS)",174,894,5,"2P","ORL",0.2,-41.25
"84274",22000190,"2020-21 Regular Season","2021-01-16","Gary Clark","Jordan Bone","Terrence Ross","Khem Birch","Aaron Gordon","Timothe Luwawu-Cabarrot","Landry Shamet","James Harden","Jeff Green","Bruce Brown",2,36,33,"0:08:23","0:03:37","0:00:05",148,"BKN","shot","","","","","","",NA,"",NA,"James Harden",0,"","","missed","","3pt step back jump shot",25,-86,239,16.4,65.1,"MISS Harden 25' 3PT Step Back Jump Shot",217,937,5,"3P","ORL",-8.6,-17.85
"84324",22000190,"2020-21 Regular Season","2021-01-16","Khem Birch","Aaron Gordon","Cole Anthony","Nikola Vucevic","Terrence Ross","James Harden","Kevin Durant","Joe Harris","Jeff Green","DeAndre Jordan",2,43,48,"0:02:31","0:09:29","0:00:13",198,"BKN","shot","","","","","","",NA,"",NA,"James Harden",2,"","","made","","jump shot",13,44,120,29.4,77,"Harden 13' Pullup Jump Shot (8 PTS)",569,1289,13,"2P","ORL",4.4,-29.75
"84363",22000190,"2020-21 Regular Season","2021-01-16","James Ennis III","Nikola Vucevic","Aaron Gordon","Dwayne Bacon","Cole Anthony","James Harden","Joe Harris","Kevin Durant","Jeff Green","DeAndre Jordan",3,55,55,"0:09:22","0:02:38","0:00:08",237,"BKN","shot","","","","","","",NA,"",NA,"James Harden",3,"","","made","","3pt step back jump shot",26,0,262,25,62.8,"Harden 26' 3PT Step Back Jump Shot (11 PTS)",158,1598,8,"3P","ORL",0,-15.55
